comments;sarcasm
Ќ й «ж« ў“ежк диг« еиѕк— ‘ Џк— е’и—ж«‘ иеѕ—ж«‘ «дў«—;TRUE
«ид е—… ж”еў »кз »ж“ке« «е« Џ«дк… бкз бк —«”з« еи«д » Џжкз и«ж ‘«Ѕ«ддз е« идк‘ ’дў… “к ‘к—кж;TRUE
е‘ ў«—бз гкб »жвидз«;FALSE
ў«ѕк «де’дЌ… и«д≈ег«жк«  и«дбди”  ќдкг  и’д дк гд Ќѕ;FALSE
«жк е«жбг—‘;FALSE
«ќ— зек;FALSE
д« и«ддз жбг—и бк «деѕ«—” «ддк »ѕ   ў„к ѕ—и” Ќ—к… «ќ к«— «дѕкж;TRUE
»«ддз ўдкг  и кћк ежз «дгд«е зѕ«;FALSE
«д« «ж«;FALSE
еж »ж“ке« ...иеж Џ«дк… њњњњ;FALSE
«д»«кж «жк е‘ еж «д‘ў»  «ќ————— зек Џ«дкз и√ќ»«— Џ«дкз иЏк—з«;FALSE
«д‘ў» гдз!! е«  Ќ”»ижк еў«ге;TRUE
  зк« евўе“кжз« ћж» «две— «д’ж«ўк иў“ез« њ;TRUE
зѕ« гдз« еж «дб—«Џ;FALSE
иЌв «ддз;FALSE
√ж« е‘ ежзе;FALSE
з–« ди ў“ез« «’д«;TRUE
еж Џ«дк…;FALSE
”√ўдв д«Ќв« «ж« «д«ж бк «де” ‘бй д«ж ’ѕквк «» дў «д–«г—… sd изи «д«ж кЏжк ћекў «д«Џ«жк «деићиѕ… бкз« ижЌж ж’дк ижѕўи «ддз «д« кѕќд бк ев«„ў «дбкѕки;TRUE
и”ў  ежз« «де—… з«ѕк;TRUE
«ддзе «ћўд ’е к «ћ—«л дк;TRUE
«дЌв ў“ежк Ќ к «ж« д«гж евѕ— ‘ же‘к д«ж еў“иез ўжѕ г—” к«жи ићи—ћкж« и—иЌ  еж ўжѕзе еиќ—;TRUE
